news_id,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Objective,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,reliability
0,0.011845822578080445,0.04095823474766651,0.031051645538747008,0.061232907666427944,0.0239247835698393,0.03917442698762455,0.004960468094111402,0.06830716404455693,0.7185445467729459,0.1871261273224755,0.05215235797828456,0.05824873192725296,0.03434994423018458,0.28463908639522223,0.2542966587263842,0.06764544344516825,0.061541649635179024,1.0
1,0.011873578959964898,0.02714302809504182,0.017348987488199547,0.04196306293129812,0.023241899240782356,0.037897060192264215,0.009700966639630895,0.05964711670145858,0.7711842997513595,0.14511386014457817,0.06462802973012048,0.11887808935903606,0.041244951872289194,0.3337773578457832,0.17441545189156615,0.05345180836385542,0.068490450426506,1.0
2,0.018336025239918525,0.037914468903772806,0.04695776906829918,0.0663912639160276,0.030700912236315506,0.06544250802865843,0.012956918199923947,0.055853296738463405,0.6654468376686206,0.21648171375337544,0.061476711882088274,0.06386251095319535,0.03422374889738971,0.19821115169666945,0.24723109959225878,0.08079661078757884,0.09771645174437447,1.0
3,0.012988101361088609,0.04539919843169991,0.02111223763755901,0.06375245046889609,0.031114587458528953,0.03267401410221229,0.004901759407910845,0.08146812870445988,0.7065895224276444,0.21881411379761906,0.0449950820922619,0.07531308411607139,0.03322482748214283,0.2687686679747021,0.22302809981994035,0.05690900004613096,0.07894712445535705,0.0
4,0.026660293111128008,0.033526350668680135,0.042771627538105525,0.0895520766564907,0.020359164339956763,0.06882353580236182,0.005095223092550545,0.03964279118276533,0.6735689376079611,0.20515641859374997,0.04945650253125,0.06570531979166665,0.022823239593749992,0.2884018753020834,0.2192168403125,0.06094705773958333,0.08829274596874999,1.0
5,0.02740645042572196,0.03713614285549988,0.02543597686035323,0.07867326558073384,0.02736428075798061,0.05100996354240544,0.01362463628661573,0.0569673875124113,0.682381896178278,0.17513507922992697,0.043226818999999965,0.12746569992335763,0.02253700011678833,0.23135485482481727,0.23214821009854025,0.053240039281021875,0.11489229699270075,1.0
6,0.024930654582997504,0.047320665608177506,0.02660464890597327,0.06398378301151851,0.03594774765546446,0.04377050373481343,0.020546191191177694,0.06568069030026769,0.6712151150096101,0.12149322872844294,0.06505579926383524,0.06114291274388662,0.03403839785328185,0.28142584173359075,0.22285933129086216,0.11299819217760616,0.10098629612870003,0.0
7,0.020026676241086925,0.022928245460408853,0.04407915792757125,0.060471561859798656,0.04153013099301575,0.02750804592472491,0.004696773019630269,0.04280708138852919,0.7359523271852342,0.15588103183676266,0.07852893480109738,0.04812313819204384,0.06111081106310002,0.23904962251028766,0.2612793924732506,0.07478311570370373,0.08124395291358022,0.0
8,0.03369854527700634,0.029976428342686746,0.0,0.0429224655218576,0.010735866192783607,0.005113317198910138,0.019392806707160218,0.08643815983578587,0.7717224109238094,0.0991442489857143,0.0630534896904762,0.030524006504761916,0.1192435913190477,0.27625201509523806,0.27786488719523816,0.09589913040952386,0.03801862981428571,1.0
9,0.009702988922474424,0.03752933983762084,0.02374549481181889,0.03683458958430421,0.03187727931525416,0.009271174918874548,0.009170703343779526,0.046646600854222176,0.7952218284116513,0.12140956160311273,0.08772605872373535,0.0715915882918288,0.05910801809533073,0.23781275381712064,0.28320885384046685,0.08433024953112846,0.05481291591634246,0.0
10,0.01998998524140839,0.035318495677841025,0.0660677577482606,0.050498761332489976,0.019604548808770817,0.04198951085810668,0.015397691334598352,0.049441281889099714,0.7016919671094244,0.14134767192401215,0.08731143663221888,0.03139324079027355,0.030294310905775067,0.31414934513069903,0.23167522861702133,0.09541179325835876,0.06841697221276596,0.0
11,0.03749220621533818,0.04390772158960392,0.021149870377055104,0.058449282971811116,0.018274374036031896,0.034739769632133356,0.015193778098644703,0.05704640173268139,0.7137465953467005,0.1820735563172689,0.07475239988353413,0.043115642024096394,0.029630460481927728,0.2825064658473893,0.23651932011244983,0.12374925408835345,0.02765290099598393,0.0
12,0.010831689483693408,0.015332097000909534,0.019889877542342137,0.02548037251967136,0.011952150897803458,0.02060535290315939,0.005627618698881057,0.03306036148380141,0.8572204794697383,0.11284877606341467,0.07025004250406501,0.11261080595121958,0.02537132221138212,0.311754794650406,0.265799429934959,0.07078885548292675,0.030575972856910587,0.0
13,0.02201790665655733,0.031209369927656223,0.02788095440125473,0.06088317973170124,0.013746137149332536,0.042426349226334995,0.03093838872937189,0.07291583980905407,0.6979818743687369,0.09680107276438359,0.08278116515616442,0.10733247718904113,0.099847071789041,0.26504220243287646,0.2160618743369863,0.04945430608767118,0.08267982895616434,0.0
14,0.023863106941779382,0.05509756078301312,0.021407307385560525,0.04311862854255008,0.034941842560348706,0.06178586375445163,0.020135977068675523,0.06450224654332391,0.675147466420297,0.07917253733846158,0.09670491065769228,0.08814483961153845,0.026715965884615386,0.36032680296153824,0.19137906508846161,0.0650681955307692,0.09248768258461537,1.0
15,0.024301266768161325,0.02677160830724155,0.03037179597659878,0.08925784429188333,0.032200614712894614,0.07006961001158571,0.020863853541301623,0.07421557081166996,0.6319478355786632,0.14885054710576923,0.048043787384615386,0.08017266287499998,0.030371198778846167,0.2967367162596155,0.15627115581730766,0.04688430434615384,0.1926696270576924,1.0
16,0.012976625294351254,0.039763288455837535,0.017216402006902217,0.043172449282090575,0.024350749232309555,0.023794208621625096,0.010263839403075237,0.07615377300973807,0.7523086646940704,0.12804158312181296,0.04130130854674218,0.09853685255807366,0.042010921614730884,0.28899555694900847,0.220804283405099,0.11327674960056659,0.06703274452124641,0.0
17,0.0164099194538565,0.035601228377411434,0.02130449671885136,0.06327034604494214,0.03484393314642247,0.03776174712464467,0.01542710615775685,0.11274789586076903,0.6626333271153455,0.16793707016751258,0.032682266974619276,0.08302760121319794,0.05506563558375637,0.30215260690355317,0.22229383399746208,0.1021993464314721,0.0346416385609137,0.0
