,news_id,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Objective,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,num_nouns,num_propernouns,num_personalnouns,num_ppssessivenouns,num_whpronoun,num_determinants,num_whdeterminants,num_cnum,num_adverb,num_interjections,num_verb,num_adj,num_vbd,num_vbg,num_vbn,num_vbp,num_vbz,smog_index,flesch_reading_ease,flesch_kincaid_grade_level,coleman_liau_index,gunning_fog_index,ari_index,lix_index,dale_chall_score,dale_chall_known_fraction,syllable_count,lexicon_count,sentence_count,reliability
0,0,0.011845822578080444,0.040958234747666515,0.031051645538747005,0.06123290766642794,0.0239247835698393,0.03917442698762455,0.004960468094111403,0.06830716404455693,0.7185445467729459,0.1871261273224755,0.05215235797828456,0.05824873192725296,0.03434994423018458,0.28463908639522223,0.2542966587263842,0.06764544344516825,0.061541649635179024,288.0,153.0,34.0,15.0,13.0,168.0,16.0,23.0,66.0,0.0,88.0,153.0,43.0,41.0,59.0,68.0,48.0,87.28310756945567,-1004.2157526366252,412.18920421860025,21.73622243528284,425.5221476510067,530.1092329817834,1087.0076701821667,60.86163029721956,0.42186001917545546,1990.0,1042.0,1.0,1
1,1,0.011873578959964898,0.027143028095041818,0.017348987488199547,0.04196306293129812,0.02324189924078236,0.03789706019226422,0.009700966639630895,0.05964711670145857,0.7711842997513595,0.14511386014457814,0.06462802973012048,0.11887808935903604,0.0412449518722892,0.3337773578457832,0.17441545189156615,0.05345180836385542,0.068490450426506,132.0,122.0,24.0,6.0,3.0,74.0,5.0,18.0,44.0,0.0,23.0,65.0,34.0,18.0,32.0,28.0,24.0,53.2582451153917,-439.79141434262937,199.0888047808765,18.940517928286848,206.9354581673307,257.398406374502,535.0677290836653,33.51764621513944,0.454183266932271,877.0,502.0,1.0,1
2,2,0.018336025239918525,0.037914468903772806,0.04695776906829918,0.0663912639160276,0.030700912236315506,0.06544250802865842,0.012956918199923948,0.055853296738463405,0.6654468376686206,0.21648171375337544,0.061476711882088274,0.06386251095319535,0.03422374889738971,0.19821115169666945,0.2472310995922588,0.08079661078757884,0.09771645174437447,392.0,143.0,63.0,14.0,15.0,269.0,18.0,43.0,118.0,0.0,127.0,198.0,62.0,47.0,46.0,94.0,67.0,79.77363405168563,-1315.6267595307916,535.3936070381232,19.22005131964809,550.8785923753666,688.591737536657,1399.7771260997067,75.34102756598242,0.5131964809384164,2351.0,1364.0,1.0,1
3,3,0.012988101361088607,0.045399198431699914,0.021112237637559008,0.06375245046889609,0.031114587458528957,0.03267401410221229,0.004901759407910845,0.08146812870445988,0.7065895224276444,0.21881411379761906,0.0449950820922619,0.07531308411607139,0.03322482748214283,0.2687686679747021,0.22302809981994035,0.05690900004613096,0.07894712445535705,204.0,119.0,22.0,14.0,4.0,129.0,7.0,15.0,43.0,0.0,55.0,108.0,47.0,41.0,51.0,37.0,29.0,75.39025969177355,-709.0481793842033,297.4760107095047,22.62224899598393,307.3676037483267,382.8268674698795,794.1218206157965,46.9225922356091,0.3748326639892905,1474.0,747.0,1.0,0
4,4,0.026660293111128008,0.03352635066868013,0.042771627538105525,0.0895520766564907,0.020359164339956763,0.06882353580236182,0.005095223092550546,0.039642791182765334,0.6735689376079611,0.20515641859375,0.049456502531249995,0.06570531979166665,0.022823239593749992,0.2884018753020834,0.2192168403125,0.060947057739583324,0.08829274596874999,31.0,14.0,1.0,1.0,0.0,23.0,0.0,3.0,6.0,0.0,6.0,13.0,4.0,6.0,5.0,10.0,3.0,24.50423929779172,-54.545175438596466,48.95070175438596,22.738508771929823,50.51228070175439,66.59815789473683,159.61403508771932,14.380452631578946,0.4473684210526315,214.0,114.0,1.0,1
5,5,0.02740645042572196,0.03713614285549988,0.025435976860353232,0.07867326558073384,0.02736428075798061,0.05100996354240544,0.01362463628661573,0.0569673875124113,0.6823818961782778,0.17513507922992694,0.04322681899999997,0.12746569992335766,0.02253700011678833,0.2313548548248173,0.23214821009854025,0.05324003928102188,0.11489229699270075,66.0,59.0,1.0,4.0,1.0,43.0,3.0,19.0,16.0,0.0,18.0,39.0,26.0,13.0,20.0,5.0,11.0,46.63607944008524,-246.99704918032785,123.24590163934424,20.851377049180325,129.60655737704917,160.45731147540982,346.9672131147541,24.291377049180326,0.41967213114754104,576.0,305.0,1.0,1
6,6,0.024930654582997504,0.04732066560817751,0.02660464890597327,0.06398378301151851,0.03594774765546446,0.043770503734813435,0.02054619119117769,0.06568069030026769,0.6712151150096101,0.12149322872844295,0.06505579926383524,0.06114291274388663,0.03403839785328185,0.28142584173359075,0.22285933129086216,0.11299819217760615,0.10098629612870004,276.0,137.0,48.0,31.0,1.0,155.0,8.0,14.0,63.0,0.0,89.0,146.0,28.0,34.0,51.0,55.0,41.0,85.5194984697246,-878.6879824561403,362.12442982456145,22.025855263157894,373.92280701754396,464.8441447368421,959.2587719298243,55.329026754385964,0.36074561403508776,1823.0,912.0,1.0,0
7,7,0.020026676241086925,0.022928245460408853,0.04407915792757125,0.06047156185979865,0.04153013099301575,0.02750804592472491,0.004696773019630268,0.042807081388529185,0.7359523271852342,0.15588103183676266,0.07852893480109738,0.048123138192043835,0.061110811063100026,0.2390496225102877,0.2612793924732506,0.07478311570370373,0.08124395291358022,293.0,47.0,52.0,17.0,3.0,84.0,16.0,8.0,52.0,0.0,115.0,166.0,12.0,31.0,23.0,48.0,32.0,65.44780449552043,-757.4496928746927,320.903660933661,17.708648648648644,331.4476658476658,412.3950122850123,844.4668304668304,48.346992137592146,0.4950859950859951,1357.0,814.0,1.0,0
8,8,0.03369854527700634,0.029976428342686743,0.0,0.0429224655218576,0.010735866192783607,0.005113317198910138,0.019392806707160214,0.08643815983578587,0.7717224109238094,0.0991442489857143,0.0630534896904762,0.03052400650476192,0.1192435913190477,0.2762520150952381,0.27786488719523816,0.09589913040952386,0.038018629814285713,38.0,107.0,8.0,7.0,8.0,30.0,0.0,9.0,11.0,0.0,12.0,18.0,13.0,2.0,8.0,5.0,15.0,35.94632885924404,-177.7314102564102,95.94179487179487,21.073076923076915,99.24102564102564,125.15846153846151,277.1623931623932,22.402981196581198,0.3162393162393162,417.0,234.0,1.0,1
9,9,0.009702988922474424,0.037529339837620836,0.023745494811818892,0.03683458958430421,0.031877279315254164,0.009271174918874548,0.009170703343779526,0.046646600854222176,0.7952218284116513,0.12140956160311273,0.08772605872373535,0.0715915882918288,0.05910801809533073,0.23781275381712064,0.28320885384046685,0.08433024953112846,0.054812915916342464,209.0,51.0,10.0,15.0,1.0,90.0,14.0,14.0,37.0,0.0,45.0,96.0,3.0,28.0,24.0,24.0,14.0,68.01342499456243,-529.6040388007053,227.7248324514991,21.803615520282193,235.9005291005291,292.18243386243387,608.7989417989418,37.675175308641975,0.3950617283950617,1130.0,567.0,1.0,0
